426.2379,,,,,,,,,,,max,426.4887,min,426.2379
426.3582,,,,,,,,,,,,426.467,,426.2597
426.3452,,,,,,,,,,,,,,
426.3936,,,,,,,,,,,,,,
426.3983,,,,,,,,,,,,,,
426.3062,,,,,,,,,,,,,,
426.2958,,,,,,,,,,,,,,
426.3842,,,,,,,,,,,,,,
426.4531,,,,,,,,,,,,,,
426.3782,,,,,,,,,,,,,,
426.3103,,,,,,,,,,,,,,
426.4096,,,,,,,,,,,,,,
426.4887,,,,,,,,,,,,,,
426.35,,,,,,,,,,,,,,
426.4029,,,,,,,,,,,,,,
426.4188,,,,,,,,,,,,,,
426.3492,,,,,,,,,,,,,,
426.2645,,,,,,,,,,,,,,
426.3892,,,,,,,,,,,,,,
426.3889,,,,,,,,,,,,,,
426.3725,,,,,,,,,,,,,,
426.3267,,,,,,,,,,,,,,
426.359,,,,,,,,,,,,,,
426.3793,,,,,,,,,,,,,,
426.3752,,,,,,,,,,,,,,
426.3982,,,,,,,,,,,,,,
426.4334,,,,,,,,,,,,,,
426.312,,,,,,,,,,,,,,
426.4007,,,,,,,,,,,,,,
426.3799,,,,,,,,,,,,,,
426.4271,,,,,,,,,,,,,,
426.3679,,,,,,,,,,,,,,
426.4137,,,,,,,,,,,,,,
426.356,,,,,,,,,,,,,,
426.3952,,,,,,,,,,,,,,
426.3852,,,,,,,,,,,,,,
426.3813,,,,,,,,,,,,,,
426.3839,,,,,,,,,,,,,,
426.3611,,,,,,,,,,,,,,
426.2884,,,,,,,,,,,,,,
426.3291,,,,,,,,,,,,,,
426.3792,,,,,,,,,,,,,,
426.3563,,,,,,,,,,,,,,
426.3824,,,,,,,,,,,,,,
426.3645,,,,,,,,,,,,,,
426.3955,,,,,,,,,,,,,,
426.3507,,,,,,,,,,,,,,
426.4402,,,,,,,,,,,,,,
426.3816,,,,,,,,,,,,,,
426.3457,,,,,,,,,,,,,,
426.32,,,,,,,,,,,,,,
426.3729,,,,,,,,,,,,,,
426.339,,,,,,,,,,,,,,
426.2994,,,,,,,,,,,,,,
426.3609,,,,,,,,,,,,,,
426.4143,,,,,,,,,,,,,,
426.3684,,,,,,,,,,,,,,
426.4159,,,,,,,,,,,,,,
426.4187,,,,,,,,,,,,,,
426.4089,,,,,,,,,,,,,,
426.3895,,,,,,,,,,,,,,
426.3349,,,,,,,,,,,,,,
426.3791,,,,,,,,,,,,,,
426.4294,,,,,,,,,,,,,,
426.2942,,,,,,,,,,,,,,
426.3984,,,,,,,,,,,,,,
426.3826,,,,,,,,,,,,,,
426.3418,,,,,,,,,,,,,,
426.3984,,,,,,,,,,,,,,
426.3707,,,,,,,,,,,,,,
426.3025,,,,,,,,,,,,,,
426.3552,,,,,,,,,,,,,,
426.385,,,,,,,,,,,,,,
426.3819,,,,,,,,,,,,,,
426.3522,,,,,,,,,,,,,,
